seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 40587.1, 44068.6, 43530.7, 43049.8, 42754.8, 42332.2, 41517.7, 40104.6, 38019.9, 35314.6, 32146.6, 28741.1, 152706, 40472.8, 10793.1, 2714.67, 848.273, 43.2403, 2.69112, 0.105595, 0.00412855, 0.000148044, 9.52068e-06, 1.40123e-06, 1.9177e-07
867, 41447.7, 44512.5, 43870.8, 43359.9, 43027.9, 42552.3, 41671.3, 40186.5, 38029.6, 35256, 32027.5, 28572.1, 152966, 39450.8, 10164.9, 2416.44, 678.156, 29.0187, 1.45846, 0.0487868, 0.00173055, 6.89737e-05, 9.1085e-06, 1.68285e-06, 2.31189e-07
761, 41030.8, 44375.6, 43764.4, 43237.7, 42900.5, 42435.7, 41573.6, 40117.2, 37995.4, 35260.8, 32072, 28653.7, 152740, 40126.1, 10588.5, 2617.67, 791.698, 38.2438, 2.2386, 0.0841298, 0.00321218, 0.000117402, 9.39172e-06, 1.53387e-06, 2.10961e-07
829, 41091.6, 44329.6, 43638.3, 43081.5, 42745.9, 42298.4, 41462.2, 40032.3, 37935.1, 35222.1, 32052.4, 28651.5, 151882, 40557.6, 10977.5, 2825.71, 922.605, 50.2391, 3.35374, 0.137921, 0.00555619, 0.000198334, 9.88998e-06, 1.12072e-06, 1.45469e-07
377, 39483.6, 43542.3, 43318, 42975.3, 42746.5, 42362.7, 41573.2, 40181.9, 38117.5, 35430.8, 32278.4, 28883.8, 152731, 40364.5, 10782, 2735.06, 872.222, 45.6837, 2.93368, 0.118846, 0.00469397, 0.000163748, 7.847e-06, 8.66973e-07, 1.12733e-07
185, 41625.4, 44517.2, 43824.6, 43291.9, 42945, 42459.8, 41573.9, 40089.5, 37937.8, 35173.2, 31956.6, 28514.8, 153120, 39855.3, 10327.8, 2473.18, 702.106, 30.1592, 1.52317, 0.0509082, 0.00181452, 7.15529e-05, 9.48738e-06, 1.82261e-06, 2.53993e-07
41, 41704.8, 44525.9, 43795.4, 43244, 42887.1, 42397.2, 41511.8, 40031.2, 37885.8, 35129.4, 31922.4, 28491.5, 151935, 40167.4, 10609.7, 2612.61, 779.474, 36.5764, 2.03441, 0.0722692, 0.00269662, 9.82005e-05, 8.02517e-06, 1.33273e-06, 1.84408e-07
198, 40956.8, 44132.6, 43542.1, 43053.5, 42743, 42298, 41457.9, 40023.4, 37922.6, 35206.2, 32031.3, 28622.7, 154064, 40522.9, 10617.5, 2583.85, 755.252, 34.2057, 1.84617, 0.0653254, 0.00241544, 9.27007e-05, 1.03008e-05, 1.88751e-06, 2.61775e-07
989, 40703.6, 44156, 43537.9, 42996, 42661.8, 42215.5, 41384.5, 39964.4, 37881.6, 35186.6, 32036.8, 28655.8, 151916, 40896.7, 11186.4, 2930.05, 987.511, 56.4004, 3.92978, 0.165956, 0.00679774, 0.000245719, 1.24839e-05, 1.44421e-06, 1.87978e-07
172, 41035.9, 44156.2, 43636.8, 43172, 42830.9, 42324.7, 41411.8, 39908.5, 37752.6, 34999.9, 31808.9, 28401.6, 154684, 40102, 10324.9, 2443.85, 677.417, 27.6454, 1.27623, 0.0394081, 0.00136359, 6.62017e-05, 1.27719e-05, 2.44127e-06, 3.32496e-07
