P_, P1_, P2_, P3_, P4_, P5_, P7_, P9_, P10_, P11_, P12_, P13_
0, 328358, 327710, 327438, 325073, 322216, 326543, 324509, 320340, 317187, 296918, 289891, 275882
4, 328358, 327705, 327428, 324788, 321700, 326411, 324160, 318936, 316229, 296719, 285971, 270945
8, 328358, 327702, 327424, 324582, 321294, 326433, 324090, 317661, 315558, 298310, 281921, 265913
12, 328358, 327706, 327428, 324597, 321123, 326629, 324390, 317080, 315126, 300418, 278107, 261257
16, 328358, 327717, 327439, 324799, 321142, 326940, 324841, 318398, 315615, 302612, 275479, 258176
20, 328358, 327731, 327455, 325123, 321325, 327272, 325371, 321911, 318513, 308658, 276725, 260047
24, 328358, 327748, 327484, 325525, 321944, 327529, 325962, 324907, 323143, 318179, 285420, 271253
28, 328358, 327765, 327542, 325905, 323402, 327674, 326361, 325938, 325950, 322901, 297428, 286438
32, 328358, 327772, 327586, 326089, 324524, 327671, 326289, 325955, 326611, 322437, 303780, 294452
36, 328358, 327764, 327589, 326027, 324664, 327555, 325975, 325469, 325994, 319109, 304616, 295419
40, 328358, 327754, 327577, 325888, 324394, 327362, 325608, 324556, 324362, 313844, 302976, 293191
44, 328358, 327743, 327561, 325693, 323970, 327105, 325248, 323174, 321916, 307193, 299899, 289082
48, 328358, 327728, 327541, 325431, 323463, 326807, 324892, 321722, 318983, 300201, 294675, 282098
